id_hecho,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO
2016-0110,1,8/24/2016,20:21:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",9,-58.51232237,-34.65903530,PEATON,AUTO
2016-0111,1,8/25/2016,9:30:00,AUTOPISTA,LUGONES y LA PAMPA,15,-58.47461905,-34.57663634,MOTO,CARGAS
2016-0112,1,8/27/2016,4:40:00,AUTOPISTA,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,MOTO,OBJETO FIJO
2016-0113,1,8/27/2016,16:45:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,PEATON,PASAJEROS
2016-0114,1,8/31/2016,11:20:00,CALLE,"SALGUERO, JERONIMO 1410",14,-58.41848605,-34.59394733,BICICLETA,CARGAS
2016-0115,1,9/2/2016,11:50:00,CALLE,ARIAS y TRONADOR,12,-58.48935041,-34.54917673,MOTO,CARGAS
2016-0116,1,9/2/2016,20:20:00,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,AUTO
2016-0117,1,9/3/2016,15:30:00,AVENIDA,DEL LIBERTADOR AV. y TAGLE,14,-58.39936478,-34.58271474,AUTO,AUTO
2016-0118,1,9/4/2016,3:30:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1,-58.37936704,-34.62694503,AUTO,AUTO
2016-0119,1,9/4/2016,6:40:00,AVENIDA,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",12,-58.49659234,-34.56353635,MOTO,AUTO
2016-0122,1,9/13/2016,7:10:00,AVENIDA,"PERON, EVA AV. 4233",9,-58.47256391,-34.65194557,BICICLETA,PASAJEROS
2016-0123,1,9/14/2016,9:00:00,AVENIDA,"ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",7,-58.45130953,-34.64053676,MOTO,AUTO
2016-0124,1,9/16/2016,15:24:00,AVENIDA,RIVADAVIA AV. y RIVERA INDARTE AV.,7,-58.46271207,-34.62884871,PEATON,PASAJEROS
2016-0125,1,9/17/2016,12:14:00,AUTOPISTA,"AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",10,-58.49020869,-34.64243791,MOTO,MOTO
2016-0126,2,9/18/2016,22:45:00,CALLE,IRIGOYEN y TINOGASTA,10,-58.52572109,-34.62125906,AUTO,CARGAS
2016-0127,1,9/24/2016,10:25:00,AVENIDA,"ACOSTA, MARIANO y ROCA, CNEL. AV.",8,-58.44094791,-34.66677111,PEATON,PASAJEROS
2016-0128,1,10/2/2016,11:30:00,AVENIDA,CASTRO y PAVON AV.,5,-58.41914024,-34.63053890,PEATON,PASAJEROS
2016-0130,1,10/4/2016,12:30:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,-58.37910942,-34.62764717,MOTO,CARGAS
2016-0131,1,10/9/2016,19:13:00,CALLE,MIRAVE 3500,4,-58.39871183,-34.64539318,PEATON,AUTO
2016-0132,1,10/10/2016,2:30:00,AVENIDA,SAN JUAN AV. y 24 DE NOVIEMBRE,3,-58.41036975,-34.62477021,AUTO,PASAJEROS
2016-0133,1,10/14/2016,0:05:00,AVENIDA,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,14,-58.40204698,-34.58342690,MOTO,AUTO
2016-0134,1,10/23/2016,5:00:00,AVENIDA,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,8,-58.48935287,-34.67648597,MOTO,OBJETO FIJO
2016-0135,1,10/24/2016,5:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",14,-58.42260225,-34.56403694,PEATON,AUTO
2016-0136,1,10/25/2016,0:00:00,AUTOPISTA,AU BUENOS AIRES - LA PLATA KM. 4,4,.,.,MOTO,CARGAS
2016-0137,1,10/25/2016,0:39:00,AVENIDA,SAN MARTIN AV. y LADINES,11,-58.51537091,-34.59035925,MOTO,MOTO
2016-0138,1,10/27/2016,20:30:00,AVENIDA,CABILDO AV. y BLANCO ENCALADA,13,-58.45909670,-34.55922742,BICICLETA,CARGAS
2016-0139,1,10/28/2016,23:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",14,-58.42008769,-34.56539579,MOTO,MOTO
2016-0140,1,10/31/2016,2:58:00,AVENIDA,JURAMENTO AV. y VUELTA DE OBLIGADO,13,-58.45566399,-34.56147293,PASAJEROS,PASAJEROS
2016-0142,1,11/5/2016,23:30:00,AVENIDA,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,-58.37533517,-34.59276462,MOTO,PASAJEROS
2016-0143,1,11/6/2016,4:41:00,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,AUTO
