,id,start_date,end_date,created_on,latitud,longitud,place_l2,place_l3,place_l4,place_l5,place_l6,operation,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price,property_currency,property_title
340705,/AYUA3NSX2fJno5TkMBdgw==,2021-09-28,2022-01-27,2021-09-28,-34.6423782,-58.5191926,Capital Federal,Liniers,,,,Venta,Casa,3.0,2.0,195.0,195.0,290000.0,USD,Casa - Liniers
284074,/RrT5Uz5IaOJU6ucXgNc+w==,2021-02-24,2021-05-29,2021-02-24,-34.6321194,-58.4688385,Capital Federal,Flores,,,,Venta,Departamento,2.0,1.0,38.0,38.0,64000.0,USD,Venta Departamento 2 ambientes en Flores
31346,3pLI/OmPivX2NhnFzH2zOQ==,2021-03-29,2021-04-15,2021-03-29,-34.5899681,-58.448835,Capital Federal,Chacarita,,,,Venta,Departamento,1.0,,32.0,28.0,89000.0,USD,Departamento - Chacarita
260104,QSsz7uyN9vrWcY68GXq/1w==,2021-04-14,2021-06-05,2021-04-14,-34.6364881,-58.4532854,Capital Federal,Flores,,,,Venta,Departamento,3.0,2.0,58.0,58.0,75900.0,USD,Departamento - Flores
360268,SpXbWEns3V4CXbEBz3rwQQ==,2021-06-11,2021-07-27,2021-06-11,-34.5420508,-58.4740815,Capital Federal,Saavedra,,,,Venta,Departamento,2.0,1.0,36.0,32.0,85000.0,USD,DEPARTAMENTO 2 AMBIENTES EN SAAVEDRA. HABILITADO PARA CONSULTORIO
409710,xf9gTl8mympYh4FakEYpCQ==,2021-03-19,2021-06-05,2021-03-19,-34.6308341,-58.4447347,Capital Federal,Caballito,,,,Venta,PH,5.0,4.0,192.0,140.0,360000.0,USD,EXCELENTE TRIPLEX DE 5 AMB - 3 COCHERAS - PATIO - TERRAZA  - CABALLITO / PARQUE CHACABUCO
307687,iCVVn5Eqn9CEC0PyQ1T+Rg==,2021-01-28,2021-06-09,2021-01-28,-34.6021987871,-58.396660856,Capital Federal,Once,,,,Venta,Departamento,3.0,2.0,95.0,84.0,187000.0,USD,ONCE 3 AMBIENTES AMPLIOS CON DEPEND. BALCON AL CONTRAFRENTE
86515,C74ZRnXWARnCc/XtjCGUmw==,2021-03-26,2021-06-05,2021-03-26,-34.5962501,-58.3732333,Capital Federal,Barrio Norte,,,,Venta,Departamento,2.0,,22.0,22.0,45000.0,USD,Departamento - Centro (Capital Federal)
202897,jRlrU3XdqNmHXwAUJIMANw==,2021-07-24,2022-02-09,2021-07-24,-34.6356655,-58.374931,Capital Federal,Barracas,,,,Venta,Departamento,2.0,1.0,52.0,52.0,80000.0,USD,VENTA DEPTO. 2 AMB. BARRACAS. OPORTUNIDAD!!
374009,aJqXZjcWtK61ZTmnqD7TtQ==,2021-05-31,2021-06-05,2021-05-31,-34.6011117,-58.3998172,Capital Federal,Balvanera,,,,Venta,Departamento,1.0,1.0,33.0,29.0,85000.0,USD,Alucinante Departamento Mono Ambiente Amoblado a Estrenar sobre la Calle Viamonte
263891,zgMD0FH5APHzgg4nKM/7BQ==,2021-02-26,2021-04-30,2021-02-26,-34.602870174,-58.4145212173,Capital Federal,Almagro,,,,Venta,Departamento,1.0,,29.0,27.0,65000.0,USD,Venta Monoambiente Muy buen estado Almagro
269940,30ef3UzsCI1kXXNcpJG9Xg==,2021-07-13,2021-11-13,2021-07-13,-34.5783355,-58.4121123,Capital Federal,Palermo,Palermo Chico,,,Venta,Departamento,2.0,1.0,42.0,37.0,139000.0,USD,Republica Arabe Siria y Boulevard Cerviño 2 ambientes con balcon vista verde venta
240490,CmzBSYbHVmyVPDKlI+MA7w==,2021-05-21,2021-06-05,2021-05-21,-34.5929273,-58.4438494,Capital Federal,Villa Crespo,,,,Venta,Departamento,2.0,1.0,30.0,30.0,69900.0,USD,DARWIN 700 - T/SOL - Villa Crespo
353964,Zf7uaW4PAWHWDAAtV96X/g==,2021-11-04,2022-01-27,2021-11-04,-34.5981708,-58.3782478,Capital Federal,Retiro,,,,Venta,Departamento,1.0,,20.0,20.0,47000.0,USD,Luminoso departamento 1 ambiente apto profesional - Centro
201652,B1wshlG04gOwcqgntHMskQ==,2021-11-15,2021-12-04,2021-11-15,-34.6027865,-58.424878,Capital Federal,Almagro,,,,Venta,Departamento,3.0,2.0,58.0,58.0,108000.0,USD,3 Amb. con balcón - Av. Corrientes 4258 1°F -  Almagro Norte
123475,c88sEriv8Y8oa7Zhjvjd/w==,2021-08-04,2022-07-02,2021-08-04,,,Capital Federal,Belgrano,,,,Venta,Departamento,2.0,1.0,,45.0,155000.0,USD,Departamento - Belgrano
188946,Yq/03Lc6AHEAct+qEXSIeA==,2021-04-03,2021-04-25,2021-04-03,-34.6256459,-58.395791,Capital Federal,San Cristobal,,,,Venta,Departamento,1.0,1.0,40.0,36.0,58500.0,USD,VENTA LOFT DIVISIBLE EN POZO SAN CRISTOBAL 
117849,lNEuxg6DC/Ox77iAhvKjfQ==,2021-08-18,2021-08-23,2021-08-18,-34.6052249,-58.4045871,Capital Federal,Balvanera,,,,Venta,Departamento,3.0,2.0,92.0,67.0,150000.0,USD,VTA 3 AMB C/DEP GRAN BALCON TERRAZA BALVANERA 91M2
73438,fyBZZhQ67rnZ3DUrKGlgEw==,2021-12-06,2022-01-27,2021-12-06,-34.5936341,-58.4252053,Capital Federal,Palermo,,,,Venta,Departamento,2.0,1.0,33.0,33.0,65000.0,USD,2 Ambientes en Palermo - Bajas Expensas
186207,QkGJIS9AX/EP3/HIbbwm3g==,2021-08-07,2022-01-05,2021-08-07,-34.567821,-58.433608,Capital Federal,Belgrano,,,,Venta,Departamento,1.0,,42.0,34.0,115000.0,USD,VENTA DEPARTAMENTO 1 AMBIENTE EN BELGRANO
212640,toRboc6VwSuzoJUqii7neQ==,2021-03-22,2021-04-21,2021-03-22,-34.5667503,-58.4359251,Capital Federal,Belgrano,,,,Venta,Departamento,5.0,4.0,202.0,,470000.0,USD,Excelente departamento de 4 dormitorios   Playroom   dependencia   cochera!
70727,g9j87x0JLNWvDH7o6CJWxg==,2021-09-23,2021-09-26,2021-09-23,-34.565524,-58.494666,Capital Federal,Villa Urquiza,,,,Venta,Departamento,2.0,1.0,65.0,65.0,175000.0,USD,Departamento 2 ambientes coch patio VUrquiza venta
251582,9K+8CDykc7cmxEviUcRezw==,2021-08-23,2022-01-27,2021-08-23,,,Capital Federal,Villa Crespo,,,,Venta,Departamento,4.0,3.0,80.0,74.0,200000.0,USD,Departamento - Villa Crespo
349085,UvZ7LpxoxDEk5uxncJ5GUg==,2021-04-16,2021-06-05,2021-04-16,,,Capital Federal,Almagro,,,,Venta,Departamento,3.0,2.0,53.0,50.0,159000.0,USD,Venta Departamento 3 Ambientes - Guayaquil y Av. la Plata - Almagro
90156,u7n7xzkHu+531unOWp9JLg==,2021-08-03,2022-02-09,2021-08-03,-34.6360454,-58.4298432,Capital Federal,Parque Chacabuco,,,,Venta,PH,5.0,4.0,303.0,174.0,340000.0,USD,PH / VENTA / 5 AMB + JARDIN + TERRAZA + QUINCHO
267029,ctLAodelj/plnNYMggCi9A==,2021-09-02,2021-11-03,2021-09-02,-34.598752,-58.500762,Capital Federal,Villa Devoto,,,,Venta,Departamento,2.0,1.0,64.0,54.0,137000.0,USD,Espectacular 2 ambientes en la mejor zona de Devoto. Beiro 3300. FULL AMENITIES
105006,gXQdHN8mmeU9PwEP+Qu1dA==,2021-09-10,2021-09-22,2021-09-10,-34.6335861,-58.4229344,Capital Federal,Boedo,,,,Venta,Departamento,2.0,1.0,31.0,31.0,52000.0,USD,Venta 2 ambientes BOEDO Piso alto - Vista abierta
218396,EcZAFG836SuNh1k6xp6OLw==,2021-11-30,2022-01-27,2021-11-30,-34.55746841,-58.48064041,Capital Federal,Nuñez,,,,Venta,Departamento,3.0,2.0,94.0,90.0,375000.0,USD,UNICO 3 AMB DE CALIDAD!! COCH Y BAULERA!
144517,bZcx0UhW3Vzo6Adps/UHsw==,2021-07-29,2022-09-08,2021-07-29,-34.6600786,-58.5031222,Capital Federal,Mataderos,,,,Venta,Departamento,3.0,2.0,107.0,50.0,138000.0,USD,Semipiso 3 ambientes con TERRAZA PROPIA  100 m2- Araujo 900 Mataderos
303205,Fkv/jY2dqhJwNrPKfQ7w0w==,2021-08-26,2021-08-26,2021-08-26,-34.6035589884,-58.4565138817,Capital Federal,Villa Crespo,,,,Venta,Departamento,4.0,2.0,80.0,72.0,129000.0,USD,Venta departamento 4 ambientes villa crespo
233705,bVPZRCavxl1KntE33s9qWA==,2021-03-20,2021-04-16,2021-03-20,-34.6021783,-58.4881598,Capital Federal,Villa Devoto,,,,Venta,Departamento,2.0,1.0,46.0,40.0,85000.0,USD,Departamento - Villa Devoto
152364,yguncTkWuYBQ5FQzFravWA==,2021-08-05,2021-08-08,2021-08-05,-34.6115782,-58.5000851,Capital Federal,Monte Castro,,,,Venta,Departamento,2.0,1.0,47.0,43.0,85000.0,USD,Departamento estrenar 2 ambientes c/balcon pileta
299719,J8vWxpIdjMbEXnpFeqQDQg==,2021-01-18,2021-04-10,2021-01-18,,,Capital Federal,Palermo,,,,Venta,Departamento,2.0,1.0,58.0,50.0,209000.0,USD,Piso Alto a Estrenar - Luminoso - Apto Profesional con Baulera Individual - Opción Venta Cochera
316630,+nfIuRMT0oGCGlIqKX+tCA==,2021-09-29,2021-10-28,2021-09-29,,,Capital Federal,Belgrano,,,,Venta,Departamento,7.0,4.0,297.0,297.0,890000.0,USD,RETASADO VENTA importante piso ALTO en edificio de categoría con buena vista -
